spotId,canonicalName,aliases,topCategory,subcategory,stateUT,district,cityLocality,region,discoveryStatus,verificationStatus,source,importance
DISC-00011,Sri Harmandir Sahib,Golden Temple|Darbar Sahib,PILGRIMAGE,Sikhism,Punjab,Amritsar,Amritsar,North,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00012,Mahabodhi Temple,,PILGRIMAGE,Buddhism,Bihar,Gaya,Bodh Gaya,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00013,Kamakhya Temple,,PILGRIMAGE,Hinduism,Assam,Kamrup Metropolitan,Guwahati,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00014,Sri Jagannath Temple,,PILGRIMAGE,Hinduism,Odisha,Puri,Puri,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00015,Dwarkadhish Temple,,PILGRIMAGE,Hinduism,Gujarat,Devbhumi Dwarka,Dwarka,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00016,Grishneshwar Temple,,PILGRIMAGE,Hinduism,Maharashtra,Chhatrapati Sambhajinagar,Verul,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00017,Mahalaxmi Temple,,PILGRIMAGE,Hinduism,Maharashtra,Kolhapur,Kolhapur,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00018,Kalaram Temple,,PILGRIMAGE,Hinduism,Maharashtra,Nashik,Nashik,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00019,Panchvati,,PILGRIMAGE,Hinduism,Maharashtra,Nashik,Nashik,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00020,Ramtek Temple,,PILGRIMAGE,Hinduism,Nagpur,Nagpur,Ramtek,,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00021,Lenyadri Temple,,PILGRIMAGE,Hinduism,Maharashtra,Pune,Junnar,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00022,Mangaladevi Temple,,PILGRIMAGE,Hinduism,Karnataka,Dakshina Kannada,Mangaluru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00023,Kadri Manjunatha Temple,,PILGRIMAGE,Hinduism,Karnataka,Dakshina Kannada,Mangaluru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00024,Kateel Durga Parameshwari Temple,,PILGRIMAGE,Hinduism,Karnataka,Dakshina Kannada,Kateel,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00025,Kudroli Temple,,PILGRIMAGE,Hinduism,Karnataka,Dakshina Kannada,Mangaluru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00026,"Sri Krishna Temple, Udupi",,PILGRIMAGE,Hinduism,Karnataka,Udupi,Udupi,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00027,Polali Rajarajeshwari Temple,,PILGRIMAGE,Hinduism,Karnataka,Dakshina Kannada,Polali,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00028,Tawang Monastery,,PILGRIMAGE,Buddhism,Arunachal Pradesh,Tawang,Tawang,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00029,Ganesh Tok,,PILGRIMAGE,Hinduism,Sikkim,Gangtok,Gangtok,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00030,Magen David Synagogue,,PILGRIMAGE,Judaism,Maharashtra,Mumbai City,Mumbai,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00031,Mount Mary Church,,PILGRIMAGE,Christianity,Maharashtra,Mumbai City,Mumbai,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00032,Paradesi Synagogue,Cochin Jewish Synagogue,PILGRIMAGE,Judaism,Kerala,Ernakulam,Kochi,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00033,Basilica of Bom Jesus,Bom Jesus Basilica,PILGRIMAGE,Christianity,Goa,North Goa,Old Goa,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00034,Bara Imambara,,TOURIST,Heritage,Uttar Pradesh,Lucknow,Lucknow,North,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00035,Victoria Memorial,,TOURIST,Historical Building,West Bengal,Kolkata,Kolkata,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00036,City Palace Jaipur,,TOURIST,Palace,Rajasthan,Jaipur,Jaipur,North,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00037,Marina Beach,,TOURIST,Beach,Tamil Nadu,Chennai,Chennai,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00038,India Gate,,TOURIST,Monument,Delhi,New Delhi,New Delhi,North,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00039,Golconda Fort,,TOURIST,Fort,Telangana,Hyderabad,Hyderabad,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00040,Haji Ali Dargah,,PILGRIMAGE,Islam,Maharashtra,Mumbai City,Mumbai,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00041,Lothal,,TOURIST,Archaeological Site,Gujarat,Ahmedabad,Lothal,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00042,Aga Khan Palace,,TOURIST,Historical Building,Maharashtra,Pune,Pune,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00043,Cellular Jail,,TOURIST,Historical Site,Andaman and Nicobar Islands,South Andaman,Port Blair,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00044,Darjeeling Himalayan Railway,,TOURIST,UNESCO World Heritage Site,West Bengal,Darjeeling,Darjeeling,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00045,Happy Valley Tea Estate,,TOURIST,Nature,West Bengal,Darjeeling,Darjeeling,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00046,Padmaja Naidu Himalayan Zoological Park,,TOURIST,Zoological Park,West Bengal,Darjeeling,Darjeeling,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00047,Singalila National Park,,TOURIST,National Park,West Bengal,Darjeeling,Singalila,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00048,Tiger Hill,,TOURIST,Hill/Mountain,West Bengal,Darjeeling,Darjeeling,East,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00049,Dzukou Valley,,TOURIST,Valley,Nagaland,Kohima,Dzukou,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00050,Tsomgo Lake,,TOURIST,River/Lake,Sikkim,Gangtok,Tsomgo,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00051,Nohsngithiang Falls,,TOURIST,Waterfall,Meghalaya,East Khasi Hills,Mawsmai,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00052,Kangla Fort,,TOURIST,Fort,Manipur,Imphal West,Imphal,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00053,Ujjayanta Palace,,TOURIST,Palace,Tripura,West Tripura,Agartala,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00054,Khawnglung Wildlife Sanctuary,,TOURIST,Wildlife Sanctuary,Mizoram,Lunglei,Khawnglung,Northeast,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00055,Lotus Mahal,,TOURIST,Historical Building,Karnataka,Vijayanagara,Hampi,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00056,Elephant Stables,,TOURIST,Historical Building,Karnataka,Vijayanagara,Hampi,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00057,Lalith Mahal Palace,,TOURIST,Palace,Karnataka,Mysuru,Mysuru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00058,Mysuru Zoo,,TOURIST,Zoological Park,Karnataka,Mysuru,Mysuru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00059,Mahakuta Temples,,PILGRIMAGE,Hinduism,Karnataka,Bagalkot,Mahakuta,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00060,Bhutanatha Temple,,PILGRIMAGE,Hinduism,Karnataka,Bagalkot,Badami,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00061,Dandeli National Park,,TOURIST,National Park,Karnataka,Uttara Kannada,Dandeli,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00062,Kodachadri Hills,,TOURIST,Hill/Mountain,Karnataka,Shivamogga,Kodachadri,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00063,Kudremukh National Park,,TOURIST,National Park,Karnataka,Chikkamagaluru,Kudremukh,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00064,Old Mangalore Port,,TOURIST,Historical Site,Karnataka,Dakshina Kannada,Mangaluru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00065,Ullal Beach,,TOURIST,Beach,Karnataka,Dakshina Kannada,Ullal,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00066,Pilikula Nisargadhama,,TOURIST,Eco Tourism,Karnataka,Dakshina Kannada,Mangaluru,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00067,"Archaeological Museum, Badami",,TOURIST,Museum,Karnataka,Bagalkot,Badami,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00068,Badami Fort,,TOURIST,Fort,Karnataka,Bagalkot,Badami,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00069,Banashankari Temple,,PILGRIMAGE,Hinduism,Karnataka,Bagalkot,Badami,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00070,"Cave Temples, Badami",,TOURIST,Cave,Karnataka,Bagalkot,Badami,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00071,Aihole,,TOURIST,Archaeological Site,Karnataka,Bagalkot,Aihole,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00072,Pattadakal,,TOURIST,UNESCO World Heritage Site,Karnataka,Bagalkot,Pattadakal,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00073,Moti Daman Fort,,TOURIST,Fort,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00074,Fort of St. Jerome,,TOURIST,Fort,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00075,Diu Fort,,TOURIST,Fort,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00076,Diu Museum,,TOURIST,Museum,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00077,INS Khukri Memorial,,TOURIST,Historical Site,Dadra and Nagar Haveli and Daman and Diu,Diu,Diu,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00078,Devka Beach,,TOURIST,Beach,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00079,Jampore Beach,,TOURIST,Beach,Dadra and Nagar Haveli and Daman and Diu,Daman,Daman,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00080,Dudhni Lake,,TOURIST,River/Lake,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Dudhni,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00081,Vasona Lion Safari Park,,TOURIST,Wildlife Sanctuary,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Silvassa,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00082,Nakshatra Garden,,TOURIST,Garden,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Silvassa,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00083,Vanganga Lake Garden,,TOURIST,Garden,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,Silvassa,West,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00084,Thazhathangady Juma Masjid,,PILGRIMAGE,Islam,Kerala,Kottayam,Kottayam,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00085,Kumarakom Bird Sanctuary,,TOURIST,Bird Watching,Kerala,Kottayam,Kumarakom,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00086,Kannan Devan Tea Museum,,TOURIST,Museum,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00087,Eravikulam National Park,,TOURIST,National Park,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00088,Palakkad Fort,,TOURIST,Fort,Kerala,Palakkad,Palakkad,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00089,Silent Valley National Park,,TOURIST,National Park,Kerala,Palakkad,Mannarkkad,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00090,Kanakakkunnu Palace,,TOURIST,Palace,Kerala,Thiruvananthapuram,Thiruvananthapuram,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00091,Peppara Wildlife Sanctuary,,TOURIST,Wildlife Sanctuary,Kerala,Thiruvananthapuram,Peppara,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00092,Thangassery Light House,,TOURIST,Historical Site,Kerala,Kollam,Thangassery,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00093,Jatayu Rock,,TOURIST,Nature,Kerala,Kollam,Chadayamangalam,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00094,Anayirankal,,TOURIST,River/Lake,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00095,Pampadum Shola National Park,,TOURIST,National Park,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00096,Varikkasseri Mana,,TOURIST,Historical Building,Kerala,Palakkad,Ottapalam,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00097,Neendakara Port,,TOURIST,Historical Site,Kerala,Kollam,Neendakara,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00098,Anayirankal Dam,,TOURIST,River/Lake,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00099,Mattupetty Dam,,TOURIST,River/Lake,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00100,Top Station,,TOURIST,Hill/Mountain,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00101,Thommankuthu Waterfall,,TOURIST,Waterfall,Kerala,Idukki,Thodupuzha,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00102,Blossom International Park,,TOURIST,Garden,Kerala,Idukki,Munnar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00103,Cherai Beach,,TOURIST,Beach,Kerala,Ernakulam,Cherai,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00104,"Sree Krishna Temple, Guruvayur",,PILGRIMAGE,Hinduism,Kerala,Thrissur,Guruvayur,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00105,Athirappilly Waterfalls,,TOURIST,Waterfall,Kerala,Thrissur,Athirappilly,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00106,Kumarakom,,TOURIST,Nature,Kerala,Kottayam,Kumarakom,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00107,Kollam Beach,,TOURIST,Beach,Kerala,Kollam,Kollam,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00108,Varkala,,TOURIST,Beach,Kerala,Thiruvananthapuram,Varkala,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00109,Sanchi Stupa,,PILGRIMAGE,Buddhism,Madhya Pradesh,Raisen,Sanchi,Central,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00110,Charminar,,TOURIST,Monument,Telangana,Hyderabad,Hyderabad,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00111,Ramappa Temple,,TOURIST,UNESCO World Heritage Site,Telangana,Mulugu,Palampet,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00112,Thousand Pillar Temple,,PILGRIMAGE,Hinduism,Telangana,Hanamkonda,Hanamkonda,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00113,Warangal Fort,,TOURIST,Fort,Telangana,Warangal,Warangal,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00114,Eturnagaram Wildlife Sanctuary,,TOURIST,Wildlife Sanctuary,Telangana,Mulugu,Eturnagaram,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00115,Pakhal Wildlife Sanctuary,,TOURIST,Wildlife Sanctuary,Telangana,Warangal,Pakhal,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
DISC-00116,Lower Manair Dam,,TOURIST,River/Lake,Telangana,Karimnagar,Karimnagar,South,DISCOVERED,PENDING_ADMIN_VERIFICATION,Current official/public source harvest; source URL recorded in source_registry,UNRANKED
